Modified;File
D;arch/arm/lib/io-shark.c
M;arch/arm/lib/uaccess_with_memcpy.c
D;arch/arm/mach-at91/at91_rstc.h
D;arch/arm/mach-at91/at91_shdwc.h
M;arch/arm/mach-at91/at91rm9200.c
M;arch/arm/mach-at91/at91rm9200_devices.c
M;arch/arm/mach-at91/at91rm9200_time.c
M;arch/arm/mach-at91/at91sam9260.c
M;arch/arm/mach-at91/at91sam9260_devices.c
M;arch/arm/mach-at91/at91sam9261.c
M;arch/arm/mach-at91/at91sam9261_devices.c
M;arch/arm/mach-at91/at91sam9263.c
M;arch/arm/mach-at91/at91sam9263_devices.c
D;arch/arm/mach-at91/at91sam926x_time.c
M;arch/arm/mach-at91/at91sam9g45.c
M;arch/arm/mach-at91/at91sam9g45_devices.c
M;arch/arm/mach-at91/at91sam9n12.c
M;arch/arm/mach-at91/at91sam9rl.c
M;arch/arm/mach-at91/at91sam9rl_devices.c
M;arch/arm/mach-at91/at91sam9x5.c
M;arch/arm/mach-at91/at91x40.c
M;arch/arm/mach-at91/at91x40_time.c
M;arch/arm/mach-at91/board-1arm.c
M;arch/arm/mach-at91/board-afeb-9260v1.c
M;arch/arm/mach-at91/board-cam60.c
M;arch/arm/mach-at91/board-carmeva.c
M;arch/arm/mach-at91/board-cpu9krea.c
M;arch/arm/mach-at91/board-cpuat91.c
M;arch/arm/mach-at91/board-csb337.c
M;arch/arm/mach-at91/board-csb637.c
M;arch/arm/mach-at91/board-dt-rm9200.c
M;arch/arm/mach-at91/board-dt-sam9.c
M;arch/arm/mach-at91/board-dt-sama5.c
M;arch/arm/mach-at91/board-eb9200.c
M;arch/arm/mach-at91/board-ecbat91.c
M;arch/arm/mach-at91/board-eco920.c
M;arch/arm/mach-at91/board-flexibity.c
D;arch/arm/mach-at91/board-foxg20.c
M;arch/arm/mach-at91/board-gsia18s.c
M;arch/arm/mach-at91/board-kafa.c
M;arch/arm/mach-at91/board-kb9202.c
M;arch/arm/mach-at91/board-pcontrol-g20.c
M;arch/arm/mach-at91/board-picotux200.c
D;arch/arm/mach-at91/board-qil-a9260.c
M;arch/arm/mach-at91/board-rm9200ek.c
D;arch/arm/mach-at91/board-rsi-ews.c
M;arch/arm/mach-at91/board-sam9-l9260.c
M;arch/arm/mach-at91/board-sam9260ek.c
M;arch/arm/mach-at91/board-sam9261ek.c
M;arch/arm/mach-at91/board-sam9263ek.c
M;arch/arm/mach-at91/board-sam9g20ek.c
M;arch/arm/mach-at91/board-sam9m10g45ek.c
M;arch/arm/mach-at91/board-sam9rlek.c
M;arch/arm/mach-at91/board-snapper9260.c
M;arch/arm/mach-at91/board-stamp9g20.c
M;arch/arm/mach-at91/board-yl-9200.c
M;arch/arm/mach-at91/board.h
M;arch/arm/mach-at91/clock.c
D;arch/arm/mach-at91/cpuidle.c
M;arch/arm/mach-at91/generic.h
M;arch/arm/mach-at91/gpio.c
A;arch/arm/mach-at91/gpio.h
D;arch/arm/mach-at91/include/mach/at91_adc.h
M;arch/arm/mach-at91/include/mach/at91_pio.h
M;arch/arm/mach-at91/include/mach/at91sam9n12.h
M;arch/arm/mach-at91/include/mach/at91sam9x5.h
M;arch/arm/mach-at91/include/mach/at91x40.h
M;arch/arm/mach-at91/include/mach/cpu.h
D;arch/arm/mach-at91/include/mach/gpio.h
M;arch/arm/mach-at91/include/mach/hardware.h
M;arch/arm/mach-at91/include/mach/sama5d3.h
A;arch/arm/mach-at91/include/mach/sama5d4.h
D;arch/arm/mach-at91/include/mach/timex.h
M;arch/arm/mach-at91/include/mach/uncompress.h
M;arch/arm/mach-at91/irq.c
M;arch/arm/mach-at91/leds.c
M;arch/arm/mach-at91/pm.c
M;arch/arm/mach-at91/pm.h
M;arch/arm/mach-at91/sam9_smc.c
M;arch/arm/mach-at91/sama5d3.c
A;arch/arm/mach-at91/sama5d4.c
M;arch/arm/mach-at91/setup.c
M;arch/arm/mach-at91/soc.h
A;arch/arm/mach-at91/sysirq_mask.c
A;arch/arm/mach-axxia/axxia.c
A;arch/arm/mach-axxia/platsmp.c
A;arch/arm/mach-bcm/bcm63xx.c
A;arch/arm/mach-bcm/bcm_5301x.c
M;arch/arm/mach-bcm/bcm_kona_smc.c
M;arch/arm/mach-bcm/bcm_kona_smc.h
A;arch/arm/mach-bcm/board_bcm21664.c
M;arch/arm/mach-bcm/board_bcm281xx.c
A;arch/arm/mach-bcm/board_bcm2835.c
A;arch/arm/mach-bcm/brcmstb.c
D;arch/arm/mach-bcm/kona.c
D;arch/arm/mach-bcm/kona.h
A;arch/arm/mach-bcm/kona_l2_cache.c
A;arch/arm/mach-bcm/kona_l2_cache.h
A;arch/arm/mach-bcm/kona_smp.c
D;arch/arm/mach-bcm2835/bcm2835.c
A;arch/arm/mach-berlin/berlin.c
A;arch/arm/mach-berlin/platsmp.c
M;arch/arm/mach-clps711x/board-autcpu12.c
M;arch/arm/mach-clps711x/board-cdb89712.c
M;arch/arm/mach-clps711x/board-clep7312.c
M;arch/arm/mach-clps711x/board-edb7211.c
M;arch/arm/mach-clps711x/board-p720t.c
M;arch/arm/mach-clps711x/common.c
M;arch/arm/mach-clps711x/common.h
M;arch/arm/mach-clps711x/devices.c
M;arch/arm/mach-clps711x/include/mach/clps711x.h
M;arch/arm/mach-clps711x/include/mach/hardware.h
D;arch/arm/mach-clps711x/include/mach/timex.h
M;arch/arm/mach-cns3xxx/cns3420vb.c
M;arch/arm/mach-cns3xxx/core.c
M;arch/arm/mach-cns3xxx/core.h
M;arch/arm/mach-cns3xxx/pcie.c
M;arch/arm/mach-davinci/aemif.c
M;arch/arm/mach-davinci/board-da830-evm.c
M;arch/arm/mach-davinci/board-da850-evm.c
M;arch/arm/mach-davinci/board-dm355-evm.c
M;arch/arm/mach-davinci/board-dm355-leopard.c
M;arch/arm/mach-davinci/board-dm365-evm.c
M;arch/arm/mach-davinci/board-dm644x-evm.c
M;arch/arm/mach-davinci/board-dm646x-evm.c
M;arch/arm/mach-davinci/board-mityomapl138.c
M;arch/arm/mach-davinci/board-neuros-osd2.c
M;arch/arm/mach-davinci/board-omapl138-hawk.c
M;arch/arm/mach-davinci/board-sffsdr.c
D;arch/arm/mach-davinci/board-tnetv107x-evm.c
M;arch/arm/mach-davinci/clock.c
M;arch/arm/mach-davinci/da830.c
M;arch/arm/mach-davinci/da850.c
M;arch/arm/mach-davinci/da8xx-dt.c
M;arch/arm/mach-davinci/davinci.h
M;arch/arm/mach-davinci/devices-da8xx.c
D;arch/arm/mach-davinci/devices-tnetv107x.c
M;arch/arm/mach-davinci/devices.c
M;arch/arm/mach-davinci/dm355.c
M;arch/arm/mach-davinci/dm365.c
M;arch/arm/mach-davinci/dm644x.c
M;arch/arm/mach-davinci/dm646x.c
M;arch/arm/mach-davinci/include/mach/cputype.h
M;arch/arm/mach-davinci/include/mach/da8xx.h
D;arch/arm/mach-davinci/include/mach/gpio-davinci.h
D;arch/arm/mach-davinci/include/mach/gpio.h
M;arch/arm/mach-davinci/include/mach/irqs.h
M;arch/arm/mach-davinci/include/mach/mux.h
M;arch/arm/mach-davinci/include/mach/psc.h
M;arch/arm/mach-davinci/include/mach/serial.h
D;arch/arm/mach-davinci/include/mach/timex.h
D;arch/arm/mach-davinci/include/mach/tnetv107x.h
M;arch/arm/mach-davinci/include/mach/uncompress.h
M;arch/arm/mach-davinci/sram.c
M;arch/arm/mach-davinci/time.c
D;arch/arm/mach-davinci/tnetv107x.c
D;arch/arm/mach-dove/board-dt.c
M;arch/arm/mach-dove/common.c
M;arch/arm/mach-dove/include/mach/bridge-regs.h
D;arch/arm/mach-dove/include/mach/timex.h
M;arch/arm/mach-dove/irq.c
M;arch/arm/mach-ebsa110/core.c
M;arch/arm/mach-ebsa110/include/mach/memory.h
